O2£¨%£©	Ê±¼ä
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.4	2020-02-24 20:52:42
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.4	2020-02-24 20:52:42
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.4	2020-02-24 20:52:42
12.8	2020-02-24 20:52:52
1.9	2020-02-24 20:52:56
1.8	2020-02-24 20:52:58
1.7	2020-02-24 20:53:01
1.6	2020-02-24 20:53:12
1.8	2020-02-24 20:53:19
12.9	2020-02-24 20:53:22
12.5	2020-02-24 20:53:25
1.9	2020-02-24 20:53:31
12.1	2020-02-24 20:53:32
12.9	2020-02-24 20:53:37
12.7	2020-02-24 20:53:47
13.0	2020-02-24 20:53:48
12.3	2020-02-24 20:53:50
12.9	2020-02-24 20:53:55
12.5	2020-02-24 20:53:58
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.4	2020-02-24 20:52:42
12.8	2020-02-24 20:52:52
1.9	2020-02-24 20:52:56
1.8	2020-02-24 20:52:58
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.9	2020-02-24 20:52:30
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.4	2020-02-24 20:52:42
12.8	2020-02-24 20:52:52
1.9	2020-02-24 20:52:56
1.8	2020-02-24 20:52:58
1.7	2020-02-24 20:53:01
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.1	2020-02-24 20:51:48
12.1	2020-02-24 20:51:48
12.6	2020-02-24 20:52:02
13.0	2020-02-24 20:52:04
12.9	2020-02-24 20:52:30
12.4	2020-02-24 20:52:42
