PH3£¨%mg/m3£©	Ê±¼ä
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
34.3	2020-02-24 20:52:25
32.1	2020-02-24 20:52:26
5.3	2020-02-24 20:52:30
33.8	2020-02-24 20:52:39
5.7	2020-02-24 20:52:40
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
34.3	2020-02-24 20:52:25
32.1	2020-02-24 20:52:26
5.3	2020-02-24 20:52:30
33.8	2020-02-24 20:52:39
5.7	2020-02-24 20:52:40
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
34.3	2020-02-24 20:52:25
32.1	2020-02-24 20:52:26
5.3	2020-02-24 20:52:30
33.8	2020-02-24 20:52:39
5.7	2020-02-24 20:52:40
5.5	2020-02-24 20:52:59
34.2	2020-02-24 20:53:01
31.2	2020-02-24 20:53:04
5.3	2020-02-24 20:53:18
32.9	2020-02-24 20:53:21
32.5	2020-02-24 20:53:23
32.1	2020-02-24 20:53:26
31.8	2020-02-24 20:53:35
32.5	2020-02-24 20:53:39
32.7	2020-02-24 20:53:45
32.2	2020-02-24 20:53:57
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
34.3	2020-02-24 20:52:25
32.1	2020-02-24 20:52:26
5.3	2020-02-24 20:52:30
33.8	2020-02-24 20:52:39
5.7	2020-02-24 20:52:40
5.5	2020-02-24 20:52:59
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
30.2	2020-02-24 20:52:07
34.3	2020-02-24 20:52:25
32.1	2020-02-24 20:52:26
5.3	2020-02-24 20:52:30
33.8	2020-02-24 20:52:39
5.7	2020-02-24 20:52:40
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
33.6	2020-02-24 20:51:44
33.6	2020-02-24 20:51:44
30.7	2020-02-24 20:52:03
